2024-11-15 14:46:27, ACTUAL VELOCITY = NaN, DESIRED VELOCITY = NaN, ACTUAL BRAKE = NaN, DESIRED BRAKE = NaN, OBSTACLE DISTANCE = NaN, BRAKE STATE = N/A
2024-11-15 14:52:56, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:56, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
2024-11-15 14:52:57, ACTUAL VELOCITY = 0.00, DESIRED VELOCITY = 0.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf, BRAKE STATE = 0
